Глубина манометра;Dшт;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Ro_c;Удельная плотность газа ;G_total;КГФ
3668.5;12.7;326.0;94.89;223.0;324.0;95.52;64.0;42.7;104.74;42.91;91.24;2.8;528.93;72.54;36.75;48.4;49.7;88.8;782.53;0.66;;139.0
3668.5;14.29;318.0;97.27;205.0;312.5;95.52;66.0;46.9;104.64;46.72;102.94;3.23;625.49;72.54;36.75;48.4;49.7;88.9;782.53;0.66;;132.0
3424.5;6.35;316.1;101.82;219.88;316.2;101.92;58.0;;106.2;23.66;39.74;0.6;136.82;44.2;37.21;50.2;50.7;101.8;780.0;0.65;;241.00000000000003
3424.5;9.53;281.5;103.87;201.64;275.9;103.97;35.5;;106.4;36.56;67.58;1.4;259.2;44.2;37.21;50.2;50.7;103.6;780.0;0.65;;216.00000000000003
3424.5;11.11;257.9;103.06;182.39;258.0;103.45;42.3;;106.47;42.63;71.29;2.18;311.24;44.2;37.21;50.2;50.7;102.6;792.0;0.65;;191.0
3424.5;12.7;236.5;104.28;163.13;237.8;104.34;47.8;;106.4;48.02;74.59;2.5;346.64;44.2;37.21;50.2;50.7;103.9;785.0;0.65;;177.0
3424.5;14.3;221.2;104.43;149.96;221.3;104.62;50.6;;106.7;50.58;73.12;2.55;362.52;44.2;37.21;50.2;50.7;104.0;777.0;0.65;;163.99999999999997
3437.0;7.5;305.56;100.8;215.0;305.6;99.7;40.0;26.0;106.5;25.9;45.4;0.6;172.04;44.2;36.46;47.9;48.6;99.8;782.0;0.68;;218.99999999999997
3437.0;7.94;298.69;100.6;209.0;298.7;100.6;48.0;27.8;106.6;28.5;52.8;1.0;201.32;44.2;36.46;47.9;48.6;99.8;782.0;0.68;;218.0
3437.0;9.53;278.23;100.6;193.0;278.2;100.6;54.0;35.1;106.6;36.3;63.9;1.5;264.35;44.2;36.46;47.9;48.6;100.1;782.0;0.68;;200.0
3437.0;11.11;256.21;101.2;173.0;256.2;101.2;54.0;40.9;106.5;41.0;63.0;1.7;319.31;44.2;36.46;47.9;48.6;100.1;782.0;0.68;;161.0
3437.0;12.7;234.19;101.3;154.0;234.2;101.6;56.0;45.6;106.4;46.2;69.0;0.9;359.32;44.2;36.46;47.9;48.6;100.3;782.0;0.68;;157.0
3437.0;14.29;337.78999999999996;101.4;138.0;216.8;100.2;57.0;49.3;106.43;49.7;71.1;0.8;375.72;44.2;36.46;47.9;48.6;100.7;782.0;0.68;;154.0
3440.0;7.94;337.78999999999996;92.05;163.0;334.25;90.95;44.0;25.6;105.11;25.94;33.94;0.24;154.32;44.2;29.17;56.1;;90.0;770.1;0.57;;180.0
